gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000055609	KMT2C	lysine methyltransferase 2C	7q36.1	protein_coding	136	1396	9.74	1063	16508	6.44	1522	500	32.85	164	10.78	156	Cancer Gene Census
ENSG00000152217	SETBP1	SET binding protein 1	18q12.3	protein_coding	134	1396	9.60	534	16508	3.23	1522	198	13.01	503	33.05	151	Cancer Gene Census
ENSG00000140538	NTRK3	neurotrophic receptor tyrosine kinase 3	15q25.3	protein_coding	131	1396	9.38	506	16508	3.07	1522	239	15.70	334	21.94	141	Cancer Gene Census
ENSG00000147889	CDKN2A	cyclin dependent kinase inhibitor 2A	9p21.3	protein_coding	131	1396	9.38	578	16508	3.50	1522	124	8.15	805	52.89	96	Cancer Gene Census
ENSG00000029534	ANK1	ankyrin 1	8p11.21	protein_coding	125	1396	8.95	709	16508	4.29	1522	459	30.16	306	20.11	139	Cancer Gene Census
ENSG00000044524	EPHA3	EPH receptor A3	3p11.1	protein_coding	125	1396	8.95	526	16508	3.19	1522	214	14.06	459	30.16	142	Cancer Gene Census
ENSG00000178568	ERBB4	erb-b2 receptor tyrosine kinase 4	2q34	protein_coding	125	1396	8.95	673	16508	4.08	1522	309	20.30	180	11.83	140	Cancer Gene Census
ENSG00000127329	PTPRB	protein tyrosine phosphatase receptor type B	12q15	protein_coding	122	1396	8.74	633	16508	3.83	1522	437	28.71	111	7.29	144	Cancer Gene Census
ENSG00000118046	STK11	serine/threonine kinase 11	19p13.3	protein_coding	121	1396	8.67	237	16508	1.44	1522	142	9.33	511	33.57	101	Cancer Gene Census
ENSG00000185177	ZNF479	zinc finger protein 479	7p11.2	protein_coding	120	1396	8.60	389	16508	2.36	1522	626	41.13	98	6.44	127	Cancer Gene Census
ENSG00000187323	DCC	DCC netrin 1 receptor	18q21.2	protein_coding	120	1396	8.60	750	16508	4.54	1522	168	11.04	542	35.61	138	Cancer Gene Census
ENSG00000140836	ZFHX3	zinc finger homeobox 3	16q22.2, 16q22.3	protein_coding	114	1396	8.17	838	16508	5.08	1522	267	17.54	366	24.05	124	Cancer Gene Census
ENSG00000185008	ROBO2	roundabout guidance receptor 2	3p12.3	protein_coding	114	1396	8.17	670	16508	4.06	1522	96	6.31	651	42.77	120	Cancer Gene Census
ENSG00000081237	PTPRC	protein tyrosine phosphatase receptor type C	1q31.3, 1q32.1	protein_coding	110	1396	7.88	491	16508	2.97	1522	804	52.83	48	3.15	122	Cancer Gene Census
ENSG00000149311	ATM	ATM serine/threonine kinase	11q22.3	protein_coding	110	1396	7.88	761	16508	4.61	1522	293	19.25	280	18.40	121	Cancer Gene Census
ENSG00000173821	RNF213	ring finger protein 213	17q25.3	protein_coding	109	1396	7.81	759	16508	4.60	1522	539	35.41	96	6.31	127	Cancer Gene Census
ENSG00000079102	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	8q21.3	protein_coding	107	1396	7.66	513	16508	3.11	1522	708	46.52	84	5.52	114	Cancer Gene Census
ENSG00000127914	AKAP9	A-kinase anchoring protein 9	7q21.2	protein_coding	107	1396	7.66	660	16508	4.00	1522	575	37.78	94	6.18	116	Cancer Gene Census
ENSG00000128052	KDR	kinase insert domain receptor	4q12	protein_coding	107	1396	7.66	503	16508	3.05	1522	290	19.05	285	18.73	118	Cancer Gene Census
ENSG00000046889	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	8q13.2	protein_coding	106	1396	7.59	699	16508	4.23	1522	614	40.34	120	7.88	114	Cancer Gene Census
ENSG00000121879	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	3q26.32	protein_coding	105	1396	7.52	1685	16508	10.21	1522	747	49.08	138	9.07	54	Cancer Gene Census
ENSG00000196367	TRRAP	transformation/transcription domain associated protein	7q22.1	protein_coding	104	1396	7.45	754	16508	4.57	1522	563	36.99	106	6.96	121	Cancer Gene Census
ENSG00000051341	POLQ	DNA polymerase theta	3q13.33	protein_coding	103	1396	7.38	530	16508	3.21	1522	565	37.12	180	11.83	114	Cancer Gene Census
ENSG00000182901	RGS7	regulator of G protein signaling 7	1q43	protein_coding	101	1396	7.23	351	16508	2.13	1522	766	50.33	65	4.27	108	Cancer Gene Census
ENSG00000172915	NBEA	neurobeachin	13q13.3	protein_coding	100	1396	7.16	704	16508	4.26	1522	102	6.70	642	42.18	113	Cancer Gene Census
ENSG00000005339	CREBBP	CREB binding protein	16p13.3	protein_coding	98	1396	7.02	777	16508	4.71	1522	334	21.94	257	16.89	105	Cancer Gene Census
ENSG00000196924	FLNA	filamin A	Xq28	protein_coding	98	1396	7.02	590	16508	3.57	1522	0	0.00	0	0.00	114	Cancer Gene Census
ENSG00000116044	NFE2L2	nuclear factor, erythroid 2 like 2	2q31.2	protein_coding	97	1396	6.95	331	16508	2.01	1522	420	27.60	89	5.85	56	Cancer Gene Census
ENSG00000145113	MUC4	mucin 4, cell surface associated	3q29	protein_coding	97	1396	6.95	637	16508	3.86	1522	731	48.03	177	11.63	123	Cancer Gene Census
ENSG00000127616	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	19p13.2	protein_coding	95	1396	6.81	583	16508	3.53	1522	146	9.59	468	30.75	102	Cancer Gene Census
ENSG00000148400	NOTCH1	notch receptor 1	9q34.3	protein_coding	95	1396	6.81	812	16508	4.92	1522	192	12.61	467	30.68	104	Cancer Gene Census
ENSG00000047410	TPR	translocated promoter region, nuclear basket protein	1q31.1	protein_coding	94	1396	6.73	464	16508	2.81	1522	813	53.42	39	2.56	98	Cancer Gene Census
ENSG00000134853	PDGFRA	platelet derived growth factor receptor alpha	4q12	protein_coding	94	1396	6.73	444	16508	2.69	1522	289	18.99	286	18.79	107	Cancer Gene Census
ENSG00000148516	ZEB1	zinc finger E-box binding homeobox 1	10p11.22	protein_coding	94	1396	6.73	390	16508	2.36	1522	306	20.11	262	17.21	99	Cancer Gene Census
ENSG00000133392	MYH11	myosin heavy chain 11	16p13.11	protein_coding	91	1396	6.52	570	16508	3.45	1522	348	22.86	221	14.52	96	Cancer Gene Census
ENSG00000047936	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6q22.1	protein_coding	90	1396	6.45	611	16508	3.70	1522	185	12.16	438	28.78	95	Cancer Gene Census
ENSG00000184634	MED12	mediator complex subunit 12	Xq13.1	protein_coding	90	1396	6.45	561	16508	3.40	1522	0	0.00	0	0.00	101	Cancer Gene Census
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	1p36.11	protein_coding	88	1396	6.30	1154	16508	6.99	1522	199	13.07	321	21.09	94	Cancer Gene Census
ENSG00000153201	RANBP2	RAN binding protein 2	2q13	protein_coding	87	1396	6.23	533	16508	3.23	1522	417	27.40	66	4.34	93	Cancer Gene Census
ENSG00000198354	DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	Xq25	protein_coding	87	1396	6.23	394	16508	2.39	1522	0	0.00	0	0.00	92	Cancer Gene Census
ENSG00000171862	PTEN	phosphatase and tensin homolog	10q23.31	protein_coding	83	1396	5.95	1268	16508	7.68	1522	98	6.44	252	16.56	73	Cancer Gene Census
ENSG00000118058	KMT2A	lysine methyltransferase 2A	11q23.3	protein_coding	81	1396	5.80	686	16508	4.16	1522	296	19.45	277	18.20	91	Cancer Gene Census
ENSG00000140937	CDH11	cadherin 11	16q21	protein_coding	81	1396	5.80	493	16508	2.99	1522	275	18.07	346	22.73	86	Cancer Gene Census
ENSG00000168685	IL7R	interleukin 7 receptor	5p13.2	protein_coding	81	1396	5.80	328	16508	1.99	1522	906	59.53	48	3.15	82	Cancer Gene Census
ENSG00000198822	GRM3	glutamate metabotropic receptor 3	7q21.11, 7q21.12	protein_coding	81	1396	5.80	532	16508	3.22	1522	561	36.86	104	6.83	85	Cancer Gene Census
ENSG00000139618	BRCA2	BRCA2 DNA repair associated	13q13.1	protein_coding	80	1396	5.73	569	16508	3.45	1522	110	7.23	641	42.12	88	Cancer Gene Census
ENSG00000139687	RB1	RB transcriptional corepressor 1	13q14.2	protein_coding	80	1396	5.73	573	16508	3.47	1522	101	6.64	648	42.58	82	Cancer Gene Census
ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1	1p36.31, 1p36.23	protein_coding	80	1396	5.73	482	16508	2.92	1522	219	14.39	338	22.21	85	Cancer Gene Census
ENSG00000049618	ARID1B	AT-rich interaction domain 1B	6q25.3	protein_coding	79	1396	5.66	479	16508	2.90	1522	188	12.35	441	28.98	87	Cancer Gene Census
ENSG00000196498	NCOR2	nuclear receptor corepressor 2	12q24.31	protein_coding	79	1396	5.66	514	16508	3.11	1522	317	20.83	220	14.45	87	Cancer Gene Census
ENSG00000157764	BRAF	B-Raf proto-oncogene, serine/threonine kinase	7q34	protein_coding	78	1396	5.59	964	16508	5.84	1522	509	33.44	137	9.00	53	Cancer Gene Census
ENSG00000171094	ALK	ALK receptor tyrosine kinase	2p23.2, 2p23.1	protein_coding	78	1396	5.59	491	16508	2.97	1522	489	32.13	66	4.34	91	Cancer Gene Census
ENSG00000181555	SETD2	SET domain containing 2, histone lysine methyltransferase	3p21.31	protein_coding	77	1396	5.52	636	16508	3.85	1522	55	3.61	680	44.68	87	Cancer Gene Census
ENSG00000182872	RBM10	RNA binding motif protein 10	Xp11.3	protein_coding	77	1396	5.52	316	16508	1.91	1522	0	0.00	0	0.00	79	Cancer Gene Census
ENSG00000067842	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	Xq28	protein_coding	76	1396	5.44	429	16508	2.60	1522	0	0.00	0	0.00	83	Cancer Gene Census
ENSG00000104517	UBR5	ubiquitin protein ligase E3 component n-recognin 5	8q22.3	protein_coding	75	1396	5.37	560	16508	3.39	1522	757	49.74	57	3.75	85	Cancer Gene Census
ENSG00000134982	APC	APC regulator of WNT signaling pathway	5q22.2	protein_coding	75	1396	5.37	1082	16508	6.55	1522	161	10.58	560	36.79	79	Cancer Gene Census
ENSG00000139219	COL2A1	collagen type II alpha 1 chain	12q13.11	protein_coding	75	1396	5.37	410	16508	2.48	1522	361	23.72	147	9.66	80	Cancer Gene Census
ENSG00000166501	PRKCB	protein kinase C beta	16p12.2, 16p12.1	protein_coding	75	1396	5.37	348	16508	2.11	1522	346	22.73	206	13.53	82	Cancer Gene Census
ENSG00000085185	BCORL1	BCL6 corepressor like 1	Xq26.1	protein_coding	74	1396	5.30	517	16508	3.13	1522	0	0.00	0	0.00	83	Cancer Gene Census
ENSG00000184675	AMER1	APC membrane recruitment protein 1	Xq11.2	protein_coding	74	1396	5.30	431	16508	2.61	1522	0	0.00	0	0.00	84	Cancer Gene Census
ENSG00000085224	ATRX	ATRX chromatin remodeler	Xq21.1	protein_coding	73	1396	5.23	817	16508	4.95	1522	0	0.00	0	0.00	83	Cancer Gene Census
ENSG00000100345	MYH9	myosin heavy chain 9	22q12.3	protein_coding	73	1396	5.23	484	16508	2.93	1522	290	19.05	346	22.73	77	Cancer Gene Census
ENSG00000133124	IRS4	insulin receptor substrate 4	Xq22.3	protein_coding	71	1396	5.09	459	16508	2.78	1522	0	0.00	0	0.00	82	Cancer Gene Census
ENSG00000135333	EPHA7	EPH receptor A7	6q16.1	protein_coding	71	1396	5.09	422	16508	2.56	1522	193	12.68	436	28.65	78	Cancer Gene Census
ENSG00000179399	GPC5	glypican 5	13q31.3	protein_coding	71	1396	5.09	337	16508	2.04	1522	193	12.68	532	34.95	72	Cancer Gene Census
ENSG00000175054	ATR	ATR serine/threonine kinase	3q23	protein_coding	70	1396	5.01	496	16508	3.00	1522	665	43.69	148	9.72	78	Cancer Gene Census
ENSG00000189079	ARID2	AT-rich interaction domain 2	12q12	protein_coding	70	1396	5.01	529	16508	3.20	1522	363	23.85	154	10.12	77	Cancer Gene Census
ENSG00000122778	KIAA1549	KIAA1549	7q34	protein_coding	69	1396	4.94	469	16508	2.84	1522	511	33.57	138	9.07	79	Cancer Gene Census
ENSG00000184937	WT1	WT1 transcription factor	11p13	protein_coding	69	1396	4.94	329	16508	1.99	1522	254	16.69	247	16.23	78	Cancer Gene Census
ENSG00000165671	NSD1	nuclear receptor binding SET domain protein 1	5q35.3	protein_coding	68	1396	4.87	562	16508	3.40	1522	242	15.90	477	31.34	72	Cancer Gene Census
ENSG00000177084	POLE	DNA polymerase epsilon, catalytic subunit	12q24.33	protein_coding	68	1396	4.87	492	16508	2.98	1522	145	9.53	144	9.46	73	Cancer Gene Census
ENSG00000178104	PDE4DIP	phosphodiesterase 4D interacting protein	1q21.2	protein_coding	67	1396	4.80	436	16508	2.64	1522	600	39.42	63	4.14	70	Cancer Gene Census
ENSG00000198286	CARD11	caspase recruitment domain family member 11	7p22.2	protein_coding	67	1396	4.80	485	16508	2.94	1522	688	45.20	105	6.90	69	Cancer Gene Census
ENSG00000065526	SPEN	spen family transcriptional repressor	1p36.21, 1p36.13	protein_coding	66	1396	4.73	629	16508	3.81	1522	220	14.45	316	20.76	81	Cancer Gene Census
ENSG00000119866	BCL11A	BAF chromatin remodeling complex subunit BCL11A	2p16.1	protein_coding	66	1396	4.73	384	16508	2.33	1522	520	34.17	50	3.29	73	Cancer Gene Census
ENSG00000144218	AFF3	AF4/FMR2 family member 3	2q11.2	protein_coding	65	1396	4.66	443	16508	2.68	1522	436	28.65	60	3.94	67	Cancer Gene Census
ENSG00000157168	NRG1	neuregulin 1	8p12	protein_coding	65	1396	4.66	449	16508	2.72	1522	198	13.01	635	41.72	65	Cancer Gene Census
ENSG00000165731	RET	ret proto-oncogene	10q11.21	protein_coding	65	1396	4.66	365	16508	2.21	1522	264	17.35	293	19.25	67	Cancer Gene Census
ENSG00000134250	NOTCH2	notch receptor 2	1p12	protein_coding	62	1396	4.44	431	16508	2.61	1522	292	19.19	297	19.51	68	Cancer Gene Census
ENSG00000138336	TET1	tet methylcytosine dioxygenase 1	10q21.3	protein_coding	62	1396	4.44	452	16508	2.74	1522	212	13.93	352	23.13	68	Cancer Gene Census
ENSG00000165238	WNK2	WNK lysine deficient protein kinase 2	9q22.31	protein_coding	62	1396	4.44	464	16508	2.81	1522	173	11.37	481	31.60	66	Cancer Gene Census
ENSG00000257923	CUX1	cut like homeobox 1	7q22.1	protein_coding	62	1396	4.44	491	16508	2.97	1522	549	36.07	115	7.56	67	Cancer Gene Census
ENSG00000012048	BRCA1	BRCA1 DNA repair associated	17q21.31	protein_coding	61	1396	4.37	367	16508	2.22	1522	448	29.43	143	9.40	64	Cancer Gene Census
ENSG00000198793	MTOR	mechanistic target of rapamycin kinase	1p36.22	protein_coding	61	1396	4.37	517	16508	3.13	1522	215	14.13	325	21.35	68	Cancer Gene Census
ENSG00000037280	FLT4	fms related receptor tyrosine kinase 4	5q35.3	protein_coding	60	1396	4.30	477	16508	2.89	1522	240	15.77	483	31.73	66	Cancer Gene Census
ENSG00000111087	GLI1	GLI family zinc finger 1	12q13.3	protein_coding	60	1396	4.30	328	16508	1.99	1522	399	26.22	119	7.82	66	Cancer Gene Census
ENSG00000126012	KDM5C	lysine demethylase 5C	Xp11.22	protein_coding	58	1396	4.15	387	16508	2.34	1522	0	0.00	0	0.00	61	Cancer Gene Census
ENSG00000122025	FLT3	fms related receptor tyrosine kinase 3	13q12.2	protein_coding	56	1396	4.01	440	16508	2.67	1522	106	6.96	642	42.18	59	Cancer Gene Census
ENSG00000140396	NCOA2	nuclear receptor coactivator 2	8q13.3	protein_coding	56	1396	4.01	308	16508	1.87	1522	632	41.52	117	7.69	58	Cancer Gene Census
ENSG00000141027	NCOR1	nuclear receptor corepressor 1	17p12, 17p11.2	protein_coding	56	1396	4.01	538	16508	3.26	1522	127	8.34	591	38.83	59	Cancer Gene Census
ENSG00000163629	PTPN13	protein tyrosine phosphatase non-receptor type 13	4q21.3	protein_coding	56	1396	4.01	445	16508	2.70	1522	147	9.66	394	25.89	57	Cancer Gene Census
ENSG00000103522	IL21R	interleukin 21 receptor	16p12.1	protein_coding	55	1396	3.94	241	16508	1.46	1522	333	21.88	196	12.88	56	Cancer Gene Census
ENSG00000176571	CNBD1	cyclic nucleotide binding domain containing 1	8q21.3	protein_coding	55	1396	3.94	245	16508	1.48	1522	685	45.01	92	6.04	59	Cancer Gene Census
ENSG00000041982	TNC	tenascin C	9q33.1	protein_coding	54	1396	3.87	528	16508	3.20	1522	196	12.88	453	29.76	60	Cancer Gene Census
ENSG00000163518	FCRL4	Fc receptor like 4	1q23.1	protein_coding	54	1396	3.87	225	16508	1.36	1522	839	55.12	35	2.30	55	Cancer Gene Census
ENSG00000171456	ASXL1	ASXL transcriptional regulator 1	20q11.21	protein_coding	54	1396	3.87	405	16508	2.45	1522	585	38.44	85	5.58	61	Cancer Gene Census
ENSG00000183337	BCOR	BCL6 corepressor	Xp11.4	protein_coding	54	1396	3.87	492	16508	2.98	1522	0	0.00	0	0.00	54	Cancer Gene Census
ENSG00000036257	CUL3	cullin 3	2q36.2	protein_coding	53	1396	3.80	250	16508	1.51	1522	271	17.81	216	14.19	54	Cancer Gene Census
ENSG00000087460	GNAS	GNAS complex locus	20q13.32	protein_coding	53	1396	3.80	369	16508	2.24	1522	567	37.25	116	7.62	49	Cancer Gene Census
ENSG00000129204	USP6	ubiquitin specific peptidase 6	17p13.2	protein_coding	53	1396	3.80	348	16508	2.11	1522	107	7.03	649	42.64	55	Cancer Gene Census
ENSG00000184507	NUTM1	NUT midline carcinoma family member 1	15q14	protein_coding	53	1396	3.80	311	16508	1.88	1522	155	10.18	483	31.73	56	Cancer Gene Census
ENSG00000198400	NTRK1	neurotrophic receptor tyrosine kinase 1	1q23.1	protein_coding	53	1396	3.80	261	16508	1.58	1522	839	55.12	37	2.43	56	Cancer Gene Census
ENSG00000135111	TBX3	T-box transcription factor 3	12q24.21	protein_coding	52	1396	3.72	282	16508	1.71	1522	305	20.04	222	14.59	54	Cancer Gene Census
ENSG00000073614	KDM5A	lysine demethylase 5A	12p13.33	protein_coding	51	1396	3.65	360	16508	2.18	1522	245	16.10	95	6.24	52	Cancer Gene Census
ENSG00000147050	KDM6A	lysine demethylase 6A	Xp11.3	protein_coding	51	1396	3.65	472	16508	2.86	1522	0	0.00	0	0.00	51	Cancer Gene Census
ENSG00000152894	PTPRK	protein tyrosine phosphatase receptor type K	6q22.33	protein_coding	51	1396	3.65	420	16508	2.54	1522	203	13.34	420	27.60	52	Cancer Gene Census
ENSG00000113360	DROSHA	drosha ribonuclease III	5p13.3	protein_coding	50	1396	3.58	282	16508	1.71	1522	908	59.66	46	3.02	53	Cancer Gene Census
ENSG00000127152	BCL11B	BAF chromatin remodeling complex subunit BCL11B	14q32.2	protein_coding	50	1396	3.58	352	16508	2.13	1522	296	19.45	299	19.65	55	Cancer Gene Census
ENSG00000162733	DDR2	discoidin domain receptor tyrosine kinase 2	1q23.3	protein_coding	50	1396	3.58	269	16508	1.63	1522	841	55.26	30	1.97	53	Cancer Gene Census
ENSG00000010671	BTK	Bruton tyrosine kinase	Xq22.1	protein_coding	49	1396	3.51	243	16508	1.47	1522	0	0.00	0	0.00	53	Cancer Gene Census
ENSG00000115524	SF3B1	splicing factor 3b subunit 1	2q33.1	protein_coding	49	1396	3.51	366	16508	2.22	1522	376	24.70	112	7.36	49	Cancer Gene Census
ENSG00000147130	ZMYM3	zinc finger MYM-type containing 3	Xq13.1	protein_coding	49	1396	3.51	323	16508	1.96	1522	0	0.00	0	0.00	50	Cancer Gene Census
ENSG00000157388	CACNA1D	calcium voltage-gated channel subunit alpha1 D	3p21.1	protein_coding	49	1396	3.51	512	16508	3.10	1522	57	3.75	683	44.88	51	Cancer Gene Census
ENSG00000078403	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	10p12.31	protein_coding	48	1396	3.44	238	16508	1.44	1522	278	18.27	269	17.67	48	Cancer Gene Census
ENSG00000083168	KAT6A	lysine acetyltransferase 6A	8p11.21	protein_coding	48	1396	3.44	419	16508	2.54	1522	468	30.75	298	19.58	53	Cancer Gene Census
ENSG00000101115	SALL4	spalt like transcription factor 4	20q13.2	protein_coding	48	1396	3.44	374	16508	2.27	1522	539	35.41	124	8.15	52	Cancer Gene Census
ENSG00000110713	NUP98	nucleoporin 98 and 96 precursor	11p15.4	protein_coding	48	1396	3.44	327	16508	1.98	1522	177	11.63	352	23.13	50	Cancer Gene Census
ENSG00000143970	ASXL2	ASXL transcriptional regulator 2	2p23.3	protein_coding	48	1396	3.44	343	16508	2.08	1522	474	31.14	69	4.53	50	Cancer Gene Census
ENSG00000165409	TSHR	thyroid stimulating hormone receptor	14q31.1	protein_coding	48	1396	3.44	244	16508	1.48	1522	318	20.89	301	19.78	53	Cancer Gene Census
ENSG00000182162	P2RY8	P2Y receptor family member 8	Xp22.33	protein_coding	48	1396	3.44	232	16508	1.41	1522	0	0.00	0	0.00	50	Cancer Gene Census
ENSG00000084676	NCOA1	nuclear receptor coactivator 1	2p23.3	protein_coding	47	1396	3.37	288	16508	1.74	1522	474	31.14	70	4.60	48	Cancer Gene Census
ENSG00000100393	EP300	E1A binding protein p300	22q13.2	protein_coding	47	1396	3.37	567	16508	3.43	1522	300	19.71	350	23.00	47	Cancer Gene Census
ENSG00000103197	TSC2	TSC complex subunit 2	16p13.3	protein_coding	47	1396	3.37	389	16508	2.36	1522	343	22.54	257	16.89	48	Cancer Gene Census
ENSG00000109670	FBXW7	F-box and WD repeat domain containing 7	4q31.3	protein_coding	47	1396	3.37	657	16508	3.98	1522	140	9.20	435	28.58	47	Cancer Gene Census
ENSG00000130396	AFDN	afadin, adherens junction formation factor	6q27	protein_coding	47	1396	3.37	419	16508	2.54	1522	190	12.48	439	28.84	49	Cancer Gene Census
ENSG00000168769	TET2	tet methylcytosine dioxygenase 2	4q24	protein_coding	47	1396	3.37	335	16508	2.03	1522	131	8.61	417	27.40	48	Cancer Gene Census
ENSG00000100503	NIN	ninein	14q22.1	protein_coding	46	1396	3.30	385	16508	2.33	1522	387	25.43	250	16.43	48	Cancer Gene Census
ENSG00000108821	COL1A1	collagen type I alpha 1 chain	17q21.33	protein_coding	46	1396	3.30	384	16508	2.33	1522	517	33.97	89	5.85	50	Cancer Gene Census
ENSG00000111642	CHD4	chromodomain helicase DNA binding protein 4	12p13.31	protein_coding	46	1396	3.30	556	16508	3.37	1522	454	29.83	184	12.09	52	Cancer Gene Census
ENSG00000113263	ITK	IL2 inducible T cell kinase	5q33.3	protein_coding	46	1396	3.30	239	16508	1.45	1522	200	13.14	494	32.46	50	Cancer Gene Census
ENSG00000126883	NUP214	nucleoporin 214	9q34.13	protein_coding	46	1396	3.30	360	16508	2.18	1522	188	12.35	464	30.49	47	Cancer Gene Census
ENSG00000142611	PRDM16	PR/SET domain 16	1p36.32	protein_coding	46	1396	3.30	380	16508	2.30	1522	232	15.24	340	22.34	50	Cancer Gene Census
